timestamp,pod_name,namespace,log_level,message
2025-11-06T00:09:54.067Z,backend-api-02,staging,ERROR,2025-11-06T00:09:54.067Z ERROR [backend-api-02] ERROR: request timeout after 6426ms while calling db
2025-11-06T00:14:44.720Z,orders-12,prod,DEBUG,2025-11-06T00:14:44.720Z DEBUG [orders-12] Started request POST /checkout from 10.0.3.33 in 307ms
2025-11-06T00:34:09.960Z,auth-service-02,staging,INFO,2025-11-06T00:34:09.960Z INFO [auth-service-02] Background job report-generator completed in 270ms
2025-11-06T00:36:27.125Z,orders-12,prod,WARN,2025-11-06T00:36:27.125Z WARN [orders-12] ERROR: ImagePullBackOff: failed to pull image myorg/auth:0.9.8
2025-11-06T01:13:03.013Z,orders-12,staging,INFO,2025-11-06T01:13:03.013Z INFO [orders-12] Background job cleanup completed in 201ms
2025-11-06T01:38:07.600Z,payments-11,prod,WARN,2025-11-06T01:38:07.600Z WARN [payments-11] ERROR: OOMKilled - process terminated due to out-of-memory
2025-11-06T02:04:59.357Z,nginx-frontend-19,staging,INFO,"2025-11-06T02:04:59.357Z INFO [nginx-frontend-19] Health check passed: ready=true, status=200"
2025-11-06T02:15:05.509Z,auth-service-06,prod,INFO,2025-11-06T02:15:05.509Z INFO [auth-service-06] Established connection to upstream db.internal:9000
2025-11-06T02:25:39.510Z,backend-api-15,dev,INFO,2025-11-06T02:25:39.510Z INFO [backend-api-15] Cache hit for key=session:1255; ttl=1889s
2025-11-06T02:42:18.008Z,payments-04,staging,INFO,2025-11-06T02:42:18.008Z INFO [payments-04] Loaded config from /etc/config/db.yml
2025-11-06T02:44:12.980Z,nginx-frontend-18,dev,DEBUG,2025-11-06T02:44:12.980Z DEBUG [nginx-frontend-18] Completed 200 POST /api/v1/orders in 393ms
2025-11-06T02:50:15.180Z,auth-service-16,prod,WARN,"2025-11-06T02:50:15.180Z WARN [auth-service-16] Graceful shutdown initiated, waiting for connections to drain"
